"DOI","Title","Abstract","Journal","Authors","Keywords","Institute of Origin","Funding","Enrichment Status"
"10.1039/D4SC03282A","Computational insights into aqueous speciation of metal-oxide nanoclusters: an in-depth study of the Keggin phosphomolybdate","Herein, we present a new computational methodology that unlocks the prediction of the complex multi-species multi-equilibria processes involved in the formation of complex metal-oxo nanoclusters.","Chemical Science","Jordi Buils, Diego Garay-Ruiz, Mireia Segado-Centellas, Enric Petrus, Carles Bo","","N/A","N/A","Already Complete"
"10.1039/D1SC00522G","Interplay between chromophore binding and domain assembly by the B12-dependent photoreceptor protein, CarH","N/A","N/A","Inês S. Camacho, Rachelle Black, Derren J. Heyes, Linus O. Johannissen, Lennart A. I. Ramakers, Bruno Bellina, Perdita E. Barran, Sam Hay, Alex R. Jones","","","N/A","Success"
"10.1039/D3SC02032K","Solvent-controlled formation of alkali and alkali-earth-secured cucurbituril/guest trimers","N/A","N/A","Doroteja Lončarić, Jiřı́ Kaleta, Jakub Radek Štoček, Martin Dračínský, Josef Cvačka, Shanshan Guan, Benjamin J. Bythell, Ivana Cı́sařová, Eric Masson, Jiřı́ Kaleta","","","N/A","Success"
"10.1039/D0SC03423A","Simultaneously boosting the conjugation, brightness and solubility of organic fluorophores by using AIEgens","N/A","N/A","Ji Qi, Xingchen Duan, Yuanjing Cai, Shaorui Jia, Chao Chen, Zheng Zhao, Ying Li, Hui‐Qing Peng, Ryan T. K. Kwok, Jacky W. Y. Lam, Dan Ding, Ben Zhong Tang","","","N/A","Success"
"10.1039/D0SC06426B","3D-visualization of amyloid-β oligomer interactions with lipid membranes by cryo-electron tomography","N/A","N/A","Yao Tian, Ruina Liang, Amit Kumar, Piotr Szwedziak, John H. Viles","","","N/A","Success"
"10.1039/D2SC02000A","Reconstructing reactivity in dynamic host–guest systems at atomistic resolution: amide hydrolysis under confinement in the cavity of a coordination cage","N/A","N/A","Massimo Delle Piane, Luca Pesce, Matteo Cioni, Giovanni M. Pavan","","","N/A","Success"
"10.1039/D1SC01007G","Actinide tetra-N-heterocyclic carbene ‘sandwiches’","N/A","N/A","Joseph F. DeJesus, Ryan W. F. Kerr, Deborah A. Penchoff, Xian B. Powers, Charles C. Peterson, Polly L. Arnold, David M. Jenkins","","","N/A","Success"
"10.1039/D1SC04502D","Peptide epitope-imprinted polymer microarrays for selective protein recognition. Application for SARS-CoV-2 RBD protein","N/A","N/A","Zsófia Bognár, Eszter Supala, Aysu Yarman, Xiaorong Zhang, Frank F. Bier, Frieder W. Scheller, Róbert E. Gyurcsányi","","","N/A","Success"
"10.1039/D3SC03686C","Organocatalytic atroposelective synthesis of axially chiral N,N′-pyrrolylindoles via de novo indole formation","N/A","N/A","Cong-Shuai Wang, Qi Xiong, Hui Xu, Haoran Yang, Yanfeng Dang, Xiu‐Qin Dong, Chun‐Jiang Wang","","","N/A","Success"
"10.1039/D2SC02493D","Simultaneous Raman and infrared spectroscopy: a novel combination for studying bacterial infections at the single cell level","N/A","N/A","Cássio Lima, Shwan Ahmed, Yun Xu, Howbeer Muhamadali, Christopher M. Parry, Rachel McGalliard, Enitan D. Carrol, Royston Goodacre","","","N/A","Success"
"10.1039/D2SC05088A","Coordination unsaturation of vanadium nitride quantum dots boosts low-temperature aerobic oxidation of thiophenic sulfides","N/A","N/A","Huawei Yang, Jiabao Bai, Qian Zhang, Lixia Yang, Liangjiu Bai, Donglei Wei, Wenxiang Wang, Ying Liang, Lin Gu, Hou Chen, Shaojun Guo","","","N/A","Success"
"10.1039/D2SC00256F","An open source computational workflow for the discovery of autocatalytic networks in abiotic reactions","N/A","N/A","Aayush Arya, Jessica Ray, Siddhant Sharma, Rómulo Cruz, Alejandro Lozano, Harrison B. Smith, Jakob L. Andersen, Huan Chen, Markus Meringer, Henderson James Cleaves","","","N/A","Success"
"10.1039/D1SC05610G","Prediction of protein pKawith representation learning","N/A","N/A","Hatice Gökcan, Olexandr Isayev","","","N/A","Success"
"10.1039/D3SC06736J","RAFT step-growth polymerization via the Z-group approach and deconstruction by RAFT interchange","N/A","N/A","Jiajia Li, Joji Tanaka, Qing Li, Claire J. Wang, Sergei S. Sheiko, Samantha Marie Clouthier, Jian Zhu, Wei You","","","N/A","Success"
"10.1039/D2SC01868C","In situ lattice tuning of quasi-single-crystal surfaces for continuous electrochemical modulation","N/A","N/A","Biao‐Feng Zeng, Junying Wei, Xia‐Guang Zhang, Qing‐Man Liang, Shu Hu, Wang Gan, Zhi‐Chao Lei, Shiqiang Zhao, Hewei Zhang, Jia Shi, Wenjing Hong, Zhong‐Qun Tian, Yang Yang","","","N/A","Success"
"10.1039/D1SC06711G","Synaptotagmin-1 C2B domains cooperatively stabilize the fusion stalk via a master-servant mechanism","N/A","N/A","Ary Lautaro Di Bartolo, Diego Masone","","","N/A","Success"
"10.1039/D4SC04430D","Introducing chirality in porous organic cages through solid-state interactions","Combining dimer pair calculations and coarse-grained modelling to predict the solid-state phase behaviour of porous organic cages and build design principles for introducing chirality into achiral cages.","Chemical Science","Emma H. Wolpert, Kim E. Jelfs","","N/A","N/A","Already Complete"
"10.1039/D2SC06141D","A folded π-system with supramolecularly oriented dipoles: single-component piezoelectric relaxor with NLO activity","N/A","N/A","S. De, Deepak Asthana, C. Thirmal, Sudhir Kumar Keshri, R. Ghosh, Geeta Hundal, Raju Suresh Kumar, Satyendra Singh, Ratnamala Chatterjee, Pritam Mukhopadhyay","","","N/A","Success"
"10.1039/D2SC05197D","Xanthate-supported photo-iniferter (XPI)-RAFT polymerization: facile and rapid access to complex macromolecules","N/A","N/A","Anne‐Catherine Lehnen, Johannes Gurke, Alain M. Bapolisi, Martin Reifarth, Marek Bekir, Matthias Hartlieb","","","N/A","Success"
"10.1039/D0SC03606D","Synthesis of unsymmetrical sulfamides and polysulfamides via SuFEx click chemistry","N/A","N/A","Ryan W. Kulow, Jiun Wei Wu, Cheoljae Kim, Quentin Michaudel","","","N/A","Success"
"10.1039/D1SC01784E","In vivo metal-catalyzed SeCT therapy by a proapoptotic peptide","N/A","N/A","Peni Ahmadi, Kyohei Muguruma, Tsung‐Che Chang, Satoru Tamura, Kazuki Tsubokura, Yasuko Egawa, Takehiro Suzuki, Naoshi Dohmae, Yoichi Nakao, Katsunori Tanaka","","","N/A","Success"
"10.1039/D2SC00631F","Lanthanide-mediated tuning of electronic and magnetic properties in heterotrimetallic cyclooctatetraenyl multidecker self-assemblies","N/A","N/A","Zheng Zhou, James McNeely, Joshua Greenough, Zheng Wei, Haixiang Han, Mathieu Rouzières, Andrey Yu. Rogachev, Rodolphe Clérac, Marina A. Petrukhina","","","N/A","Success"
"10.1039/D4SC03460K","π-Extended Pyrenes: From Antiaromatic Buckybowl to Doubly Curved Nanocarbons with Gulf Architectures","N/A","N/A","Binbin Liu, Zhengxiong Jin, Xinyue Liu, Liping Sun, Yang Cao, Lei Zhang","","","N/A","Success"
"10.1039/D4SC02829E","Dynamically blocking leakage current in molecular tunneling junctions","Incorporating mixed flexible-rigid backbones into molecular junctions can dynamically block tunneling currents and enhance rectification.","Chemical Science","Yu Xie, Shengzhe Qiu, Qianqian Guo, Chengtai Li, Ningyue Chen, Ziming Zhou, Zhenyu Yang, Zhou Cao, Tao Wang, Wei Du, Lejia Wang, Yuan Li","","N/A","N/A","Already Complete"
"10.1039/D1SC06383A","MnO2 nanosheets as a carrier and accelerator for improved live-cell biosensing application of CRISPR/Cas12a","N/A","N/A","Dongxia Wang, Yaxin Wang, Jing Wang, Jiayi Ma, Bo Liu, An‐Na Tang, De‐Ming Kong","","","N/A","Success"
"10.1039/D2SC01650H","Oxidatively induced reactivity in Rh(iii)-catalyzed 7-azaindole synthesis: insights into the role of the silver additive","N/A","N/A","Ho Ryu, Bimal Pudasaini, Dasol Cho, Sungwoo Hong, Mu‐Hyun Baik","","","N/A","Success"
"10.1039/D3SC02945J","Responsive calcium-derived nanoassemblies induce mitochondrial disorder to promote tumor calcification","N/A","N/A","Yan Zhao, Xinquan Yu, Weiheng Kong, Rongmei Kong, Ensheng Zhang, Lian Xia, Jing Zhang, Fengli Qu, Weihong Tan","","","N/A","Success"
"10.1039/D0SC03523H","Ion-molecule reactions catalyzed by a single gold atom","N/A","N/A","Shengfu Yang, Hong Wu, Qiquan Luo, Aula M. Al Hindawi, Berlian Sitorus, Andrew M. Ellis, Jinlong Yang","","","N/A","Success"
"10.1039/D3SC04186G","Impact of electrolyte impurities and SEI composition on battery safety","N/A","N/A","Florian Baakes, Daniel Witt, Ulrike Krewer","","","N/A","Success"
"10.1039/D3SC01777J","Role of distal arginine residue in the mechanism of heme nitrite reductases","N/A","N/A","Ankita Sarkar, Snehadri Bhakta, Samir Chattopadhyay, Abhishek Dey","","","N/A","Success"
"10.1039/D1SC01442K","Stereodivergent entry to β-branched β-trifluoromethyl α-amino acid derivatives by sequential catalytic asymmetric reactions","N/A","N/A","Vasco Corti, Riccardo Riccioli, Ada Martinelli, Sergio Sandri, Mariafrancesca Fochi, Luca Bernardi","","","N/A","Success"
"10.1039/D2SC05094C","Anthranilamide-protected vinylboronic acid: rational monomer design for improved polymerization/transformation ability providing access to conventionally inaccessible copolymers","N/A","N/A","Hiroshi Suzuki, Tsuyoshi Nishikawa, Hiroshi Makino, Makoto Ouchi","","","N/A","Success"
"10.1039/D1SC00467K","An amino acid based system for CO2capture and catalytic utilization to produce formates","N/A","N/A","Duo Wei, Henrik Junge, Matthias Beller","","","N/A","Success"
"10.1039/D3SC03841F","Pathway complexity in fibre assembly: from liquid crystals to hyper-helical gelmorphs","N/A","N/A","Rafael Contreras‐Montoya, James P. Smith, Stephen C. Boothroyd, Juan A. Aguilar, Marzieh Mirzamani, Martin A. Screen, Dmitry S. Yufit, Mark Robertson, Lilin He, Shuo Qian, Harshita Kumari, Jonathan W. Steed","","","N/A","Success"
"10.1039/D0SC07093A","Single-atom nickel terminating sp2 and sp3 nitride in polymeric carbon nitride for visible-light photocatalytic overall water splitting","N/A","N/A","Yanrui Li, Yiqing Wang, Chung‐Li Dong, Yucheng Huang, Jie Chen, Zhen Zhang, Fanqi Meng, Qian Zhang, Yiliang Huangfu, Daming Zhao, Lin Gu, Shaohua Shen","","","N/A","Success"
"10.1039/D0SC05402J","Investigating the innate selectivity issues of methane to methanol: consideration of an aqueous environment","N/A","N/A","Rhys J. Bunting, Peter S. Rice, Jillian M. Thompson, P. Hu","","","N/A","Success"
"10.1039/D1SC04387K","Systematic investigation of the aza-Cope reaction for fluorescence imaging of formaldehyde in vitro and in vivo","N/A","N/A","Yimeng Du, Tao Peng, Meirong Huang, Shushu Wang, Jianzheng Wang, Kongke Liao, Xiaojun Wu, Qiang Zhou, Xinhao Zhang, Y.-T. Wu, Tao Peng","","","N/A","Success"
"10.1039/D1SC03435A","Dissipative operation of pH-responsive DNA-based nanodevices","N/A","N/A","Davide Mariottini, Daniele Del Giudice, Gianfranco Ercolani, Stefano Di Stefano, Francesco Ricci","","","N/A","Success"
"10.1039/D1SC06335A","A covalent cobalt diimine-dioxime – fullerene assembly for photoelectrochemical hydrogen production from near-neutral aqueous media","N/A","N/A","Dongyue Sun, Adina Morozan, Matthieu Koepf, Vincent Artero","","","N/A","Success"
"10.1039/D3SC02709K","Fast and scalable solvent-free access to Lappert's heavier tetrylenes E{N(SiMe3)2}2 (E = Ge, Sn, Pb) and ECl{N(SiMe3)2} (E = Ge, Sn)","N/A","N/A","Javier A. Cabeza, Javier F. Reynes, Felipe Garcı́a, Pablo García‐Álvarez, Rubén García-Soriano","","","N/A","Success"
"10.1039/D3SC01368E","Programmed guest confinement via hierarchical cage to cage transformations","N/A","N/A","Federico Begato, Giulia Licini, Cristiano Zonta","","","N/A","Success"
"10.1039/D2SC06035C","A highly conductive gel electrolyte with favorable ion transfer channels for long-lived zinc–iodine batteries","N/A","N/A","Yadong Tian, Song Chen, Siyu Ding, Qianwu Chen, Jintao Zhang","","","N/A","Success"
"10.1039/D0SC06098D","Peptide sequence mediated self-assembly of molybdenum blue nanowheel superstructures","N/A","N/A","Shan She, Weimin Xuan, Nicola L. Bell, Robert Pow, Eduard Garrido Ribó, Zoe Sinclair, De‐Liang Long, Leroy Cronin","","","N/A","Success"
"10.1039/D3SC00195D","A transient vesicular glue for amplification and temporal regulation of biocatalytic reaction networks","N/A","N/A","Alisha Kamra, Sourav Das, Preeti Bhatt, Manju Solra, Tanmoy Maity, Subinoy Rana","","","N/A","Success"
"10.1039/D3SC05514K","Unveiling the topology of partially disordered micro-crystalline nitro-perylenediimide with X-aggregate stacking: an integrated approach","N/A","N/A","Renny Mathew, Aniruddha Mazumder, Praveen Kumar, Julie Matula, Sharmarke Mohamed, Petr Brázda, Mahesh Hariharan, Brijith Thomas","","","N/A","Success"
"10.1039/D0SC03220D","Diazaphosphinyl radical-catalyzed deoxygenation of α-carboxy ketones: a new protocol for chemo-selective C–O bond scission via mechanism regulation","N/A","N/A","Jingjing Zhang, Jin‐Dong Yang, Jin‐Pei Cheng","","","N/A","Success"
"10.1039/D2SC02097A","Hierarchical supramolecular co-assembly formation employing multi-component light-harvesting charge transfer interactions giving rise to long-wavelength emitting luminescent microspheres","N/A","N/A","Tumpa Gorai, June I. Lovitt, Deivasigamani Umadevi, Gavin McManus, Thorfinnur Gunnlaugsson","","","N/A","Success"
"10.1039/D3SC04933G","Laser capture microdissection and native mass spectrometry for spatially-resolved analysis of intact protein assemblies in tissue","N/A","N/A","James W. Hughes, Emma K. Sisley, Oliver J. Hale, Helen J. Cooper","","","N/A","Success"
"10.1039/D2SC02597C","Ferroptosis promotes sonodynamic therapy: a platinum(ii)–indocyanine sonosensitizer","N/A","N/A","Yidan Lai, Nong Lu, Ai Ouyang, Qianling Zhang, Pingyu Zhang","","","N/A","Success"
"10.1039/D4SC04797D","Excited-state symmetry breaking is an ultrasensitive tool for probing microscopic electric fields","N/A","N/A","Bogdan Dereka, Nikhil Maroli, Yevgen M. Poronik, Daniel T. Gryko, Alexei A. Kananenka","","","N/A","Success"
"10.1039/D1SC00163A","DeepFrag: a deep convolutional neural network for fragment-based lead optimization","N/A","N/A","Harrison Green, David Ryan Koes, Jacob D. Durrant","","","N/A","Success"
"10.1039/D0SC06895K","Achieving high circularly polarized luminescence with push–pull helicenic systems: from rationalized design to top-emission CP-OLED applications","N/A","N/A","Kais Dhbaibi, Laura Abella, Sylvia Meunier‐Della‐Gatta, Thierry Roisnel, Nicolas Vanthuyne, Bassem Jamoussi, Grégory Pieters, Benoît Racine, Etienne Quesnel, Jochen Autschbach, Jeanne Crassous, Ludovic Favereau","","","N/A","Success"
"10.1039/D4SC01365D","Engineered π···π interactions favour supramolecular dimers X@[FeL3]2 (X=Cl, Br, I): solid state and solution structure","N/A","N/A","Arnau Risa, Leoní A. Barrios, Rosa Diego, Olivier Roubeau, Dmitry Yu. Aleshin, Yulia V. Nelyubina, Valentin V. Novikov, Simon J. Teat, Jordi Ribas‐Ariño, Guillem Aromı́","","","N/A","Success"
"10.1039/D2SC01798A","CO reductive oligomerization by a divalent thulium complex and CO2-induced functionalization","N/A","N/A","Thomas Simler, Karl N. McCabe, Laurent Maron, Grégory Nocton","","","N/A","Success"
"10.1039/D2SC04041G","A broadly applicable quantitative relative reactivity model for nucleophilic aromatic substitution (SNAr) using simple descriptors","N/A","N/A","Jingru Lu, Irina Paci, David C. Leitch","","","N/A","Success"
"10.1039/D4SC03561E","Electronic energy transfer ionization in naphthalene–CO2 clusters reveals excited states of dry ice","N/A","N/A","Alexander K. Lemmens, Anna Wannenmacher, Nureshan Dias, Musahid Ahmed","","","N/A","Success"
"10.1039/D0SC03636F","Ultrasensitive single-cell proteomics workflow identifies &gt;1000 protein groups per mammalian cell","N/A","N/A","Yongzheng Cong, Khatereh Motamedchaboki, Santosh A. Misal, Yiran Liang, Amanda J. Guise, Thy Truong, Romain Huguet, Edward D. Plowey, Ying Zhu, Daniel López‐Ferrer, Ryan Kelly","","","N/A","Success"
"10.1039/D2SC02726G","Strategic design of Fe and N co-doped hierarchically porous carbon as superior ORR catalyst: from the perspective of nanoarchitectonics","N/A","N/A","Minjun Kim, Konstantin L. Firestein, Joseph F. S. Fernando, Xingtao Xu, Hyunsoo Lim, Dmitri Golberg, Jongbeom Na, Jihyun Kim, Hiroki Nara, Jing Tang, Yusuke Yamauchi","","","N/A","Success"
"10.1039/D2SC03083G","Determination of the critical chain length for macromolecular crystallization using structurally flexible polyketones","N/A","N/A","Yuki Ide, Yumehiro Manabe, Yusuke Inaba, Yusuke Kinoshita, Jenny Pirillo, Yuh Hijikata, Tomoki Yoneda, Kilingaru I. Shivakumar, Saki Tanaka, Hitoshi Asakawa, Yasuhide Inokuma","","","N/A","Success"
"10.1039/D1SC03509F","Tuning the porosity of triangular supramolecular adsorbents for superior haloalkane isomer separations","N/A","N/A","Bin Hua, Yanjun Ding, Lukman O. Alimi, Basem Moosa, Gengwu Zhang, Walaa S. Baslyman, Jonathan L. Sessler, Niveen M. Khashab","","","N/A","Success"
"10.1039/D0SC04641H","Unveiling the molecular mechanism of SARS-CoV-2 main protease inhibition from 137 crystal structures using algebraic topology and deep learning","N/A","N/A","Duc Duy Nguyen, Kaifu Gao, Jiahui Chen, Rui Wang, Guo‐Wei Wei","","","N/A","Success"
"10.1039/D1SC00071C","Uncovering the interactions driving carotenoid binding in light-harvesting complexes","N/A","N/A","Vincenzo Mascoli, Nicoletta Liguori, Lorenzo Cupellini, Eduard Elias, Benedetta Mennucci, Roberta Croce","","","N/A","Success"
"10.1039/D4SC02491E","Neutral Inverse-Sandwich Rare-Earth Metal Complexes of the Benzene Tetraanion","N/A","N/A","Yi Wang, Yurou Zhang, Jiefeng Liang, Bowen Tan, Chong Deng, Wenliang Huang","","","N/A","Success"
"10.1039/D3SC01027A","Substituent effects on aromatic interactions in water","N/A","N/A","Gloria Tobajas-Curiel, Qingqing Sun, Jeremy K. M. Sanders, Pablo Ballester, Christopher A. Hunter","","","N/A","Success"
"10.1039/D3SC03828A","Hybrid bronzes: mixed-valence organic–inorganic metal oxides as a tunable material platform","N/A","N/A","W. Lakna N. Dayaratne, Raúl Torres-Cadena, Bennett P. Schmitt, Emma M. Westrick, Adam Jaffe","","","N/A","Success"
"10.1039/D3SC05939A","Iron(IV) alkyl complexes: electronic structure contributions to Fe–C bond homolysis and migration reactions that form N–C bonds from N2","N/A","N/A","Samuel M. Bhutto, Samuel M. Bhutto, Reagan X. Hooper, Brandon Q. Mercado, Patrick L. Holland","","","N/A","Success"
"10.1039/D0SC01341B","Highly efficient non-doped blue fluorescent OLEDs with low efficiency roll-off based on hybridized local and charge transfer excited state emitters","N/A","N/A","Xianhao Lv, Mizhen Sun, Lei Xu, Runzhe Wang, Huayi Zhou, Yuyu Pan, Shitong Zhang, Qikun Sun, Shanfeng Xue, Wenjun Yang","","","N/A","Success"
"10.1039/D1SC01127H","Catalytic (3 + 2) annulation of donor–acceptor aminocyclopropane monoesters and indoles","N/A","N/A","Vincent Pirenne, Emma G. L. Robert, Jérôme Waser","","","N/A","Success"
"10.1039/D3SC04678H","Time-resolved Control of Nanoparticle Integration in Titanium-Organic Frameworks for Enhanced Catalytic Performance","N/A","N/A","Carmen Fernández‐Conde, Yongkun Zheng, Marta Mon, Antonio Ribera, Antonio Leyva–Pérez, Carlos Martí‐Gastaldo","","","N/A","Success"
"10.1039/D3SC02398B","A macrocyclic quinol-containing ligand enables high catalase activity even with a redox-inactive metal at the expense of the ability to mimic superoxide dismutase","N/A","N/A","Sana Karbalaei, Alicja Franke, Julian Oppelt, Tarfi Aziz, Aubree Jordan, P. Raj Pokkuluri, Dean D. Schwartz, Ivana Ivanović‐Burmazović, Christian R. Goldsmith","","","N/A","Success"
"10.1039/D2SC02174A","Ni single atoms on carbon nitride for visible-light-promoted full heterogeneous dual catalysis","N/A","N/A","Minjoon Kwak, Jinsol Bok, Byoung‐Hoon Lee, Jongchan Kim, Youngran Seo, Sumin Kim, Hyunwoo Choi, Wonjae Ko, Wytse Hooch Antink, Chan Woo Lee, Guk Hee Yim, Hyojin Seung, Chansul Park, Kug‐Seung Lee, Dae‐Hyeong Kim, Taeghwan Hyeon, Dongwon Yoo","","","N/A","Success"
"10.1039/D0SC06627C","A feasible approach for automatically differentiable unitary coupled-cluster on quantum computers","N/A","N/A","Jakob S. Kottmann, Abhinav Anand, Florian Häse","","","N/A","Success"
"10.1039/D2SC00926A","Metal-mediated DNA base pairing of easily prepared 2-oxo-imidazole-4-carboxylate nucleotides","N/A","N/A","Lingyun Hu, Yusuke Takezawa, Mitsuhiko Shionoya","","","N/A","Success"
"10.1039/D2SC00116K","Data-driven discovery of cardiolipin-selective small molecules by computational active learning","N/A","N/A","Bernadette Mohr, Kirill Shmilovich, Isabel Kleinwächter, Dirk Schneider, Andrew L. Ferguson, Tristan Bereau","","","N/A","Success"
"10.1039/D3SC04251K","Crystallographic evidence for global aromaticity in the di-anion and tetra-anion of a cyclophane hydrocarbon","N/A","N/A","Wojciech Stawski, Yikun Zhu, Zheng Wei, Marina A. Petrukhina, Harry L. Anderson","","","N/A","Success"
"10.1039/D4SC02635G","Unnatural enzyme activation by a metal-responsive regulatory protein","N/A","N/A","Olga Halfin, Liat Avram, Shira Albeck, Tamar Unger, Leila Motiei, David Margulies","","","N/A","Success"
"10.1039/D1SC06528A","A highly selective and sensitive chemiluminescent probe for leucine aminopeptidase detection in vitro, in vivo and in human liver cancer tissue","N/A","N/A","Baoqu Wang, Zhenzhou Chen, Xiaohong Cen, Yuqing Liang, Liyi Tan, En Liang, Lu Zheng, Yanjun Zheng, Zhikun Zhan, Kui Cheng","","","N/A","Success"
"10.1039/D2SC05939H","Planar pentacoordinate s-block metals","N/A","N/A","Menghui Wang, Amlan J. Kalita, Mesías Orozco‐Ic, Gai-ru Yan, Chen Chen, Bing Yan, Gabriela Castillo-Toraya, William Tiznado, Ankur K. Guha, Sudip Pan, Gabriel Merino, Zhong‐hua Cui","","","N/A","Success"
"10.1039/D2SC05556B","Photochemical halogen-bonding assisted generation of vinyl and sulfur-centered radicals: stereoselective catalyst-free C(sp2)–S bond forming reactions","N/A","N/A","Helena F. Piedra, Manuel Plaza","","","N/A","Success"
"10.1039/D0SC05017B","CrystalGrower: a generic computer program for Monte Carlo modelling of crystal growth","N/A","N/A","Adam Hill, Pablo Cubillas, James Gebbie-Rayet, Mollie Trueman, Nathan de Bruyn, Zulaikha al Harthi, Rachel J. S. Pooley, Martin P. Attfield, Vladislav A. Blatov, Davide Μ. Proserpio, Julian D. Gale, Duncan Akporiaye, Bjørnar Arstad, Michael W. Anderson","","","N/A","Success"
"10.1039/D1SC01506K","Targeting molecular quantum memory with embedded error correction","N/A","N/A","Selena J. Lockyer, Alessandro Chiesa, Grigore A. Timco, Eric J. L. McInnes, Tom S. Bennett, Íñigo J. Vitórica‐Yrezábal, Stefano Carretta, Richard E. P. Winpenny","","","N/A","Success"
"10.1039/D0SC06164F","Isomeric anthracene diimide polymers","N/A","N/A","Dandan Tu, Qing Yang, Shuwen Yu, Xin Guo, Can Li","","","N/A","Success"
"10.1039/D1SC06849K","Unprecedented mid-infrared nonlinear optical materials achieved by crystal structure engineering, a case study of (KX)P2S6 (X = Sb, Bi, Ba)","N/A","N/A","Vivian Nguyen, Bingheng Ji, Kui Wu, Bingbing Zhang, Jian Wang","","","N/A","Success"
"10.1039/D1SC02745J","Understanding the mechanism of direct visible-light-activated [2 + 2] cycloadditions mediated by Rh and Ir photocatalysts: combined computational and spectroscopic studies","N/A","N/A","Hoimin Jung, Mannkyu Hong, Marianna Marchini, Marco Villa, Philipp S. Steinlandt, Xiaoqiang Huang, Marcel Hemming, Eric Meggers, Paola Ceroni, Jiyong Park, Mu‐Hyun Baik","","","N/A","Success"
"10.1039/D0SC06675C","Relating atomic energy, radius and electronegativity through compression","N/A","N/A","Martin Rahm, Paul Erhart, Roberto Cammi","","","N/A","Success"
"10.1039/D1SC04094D","Origin of the N-coordinated single-atom Ni sites in heterogeneous electrocatalysts for CO2 reduction reaction","N/A","N/A","Yu Wang, Liming You, Kun Zhou","","","N/A","Success"
"10.1039/D3SC05496A","Control of the fluorescence lifetime in dye based nanoparticles","N/A","N/A","Bo W. Laursen, Stine G. Stenspil, Junsheng Chen, Mikkel B. Liisberg, Amar H. Flood","","","N/A","Success"
"10.1039/D3SC05849B","Soluble Gd6Cu24 clusters: effective molecular electrocatalysts for water oxidation","N/A","N/A","Jianan Chen, Zhong‐Hua Pan, Qingfu Qiu, Cheng Wang, La‐Sheng Long, Lan‐Sun Zheng, Xiang‐Jian Kong","","","N/A","Success"
"10.1039/D1SC03741B","Origin of enantioselectivity reversal in Lewis acid-catalysed Michael additions relying on the same chiral source","N/A","N/A","Paul S. Riehl, Alistair D. Richardson, T. Sakamoto, Jolene P. Reid, Corinna S. Schindler","","","N/A","Success"
"10.1039/D1SC00231G","Beyond generative models: superfast traversal, optimization, novelty, exploration and discovery (STONED) algorithm for molecules using SELFIES","N/A","N/A","AkshatKumar Nigam, Robert Pollice, Mario Krenn, Gabriel dos Passos Gomes, Alán Aspuru‐Guzik","","","N/A","Success"
"10.1039/D1SC03368A","Visualizing electron delocalization in contorted polycyclic aromatic hydrocarbons","N/A","N/A","Albert Artigas, Yannick Carissan, Denis Hagebaum‐Reignier, Yoann Coquerel","","","N/A","Success"
"10.1039/D3SC06126D","Insights into Extended Coupled Polymethines through the Investigation of Dual UV-to-NIR Acidochromic Switches Based on Heptamethine-Oxonol Dyes","N/A","N/A","Benjamin Mourot, Valérie Mazan, Mourad Elhabiri, Rudraditya Sarkar, Denis Jacquemin, Olivier Siri, Simon Pascal","","","N/A","Success"
"10.1039/D4SC03699A","Correlated shapeshifting and configurational isomerization","N/A","N/A","Burhan A. Hussein, William Maturi, Mary Kate Rylands, Aisha N. Bismillah, Yuzhen Wen, Juan A. Aguilar, Rabia Ayub, Conor D. Rankine, Paul R. McGonigal","","","N/A","Success"
"10.1039/D4SC02802C","C–H functionalization of 2-alkyl tryptamines: direct assembly of azepino[4,5-b]indoles and total synthesis of ngouniensines","The concise total synthesis of ngouniensines is reported, in which 2-Me-tryptamine undergoes sequential C–H functionalization with different aldehydes to afford the azepino[4,5-b]indole core and an exocyclic conjugated alkene, respectively.","Chemical Science","Kejing Xie, Zeyuan Shen, Peng Cheng, Haoxiang Dong, Zhi-Xiang Yu, Liansuo Zu","","N/A","N/A","Already Complete"
"10.1039/D2SC04326B","Exploring the configurational space of amorphous graphene with machine-learned atomic energies","N/A","N/A","Zakariya El-Machachi, Mark Wilson, Volker L. Deringer","","","N/A","Success"
"10.1039/D3SC03725H","Metal organic layers enabled cell surface engineering coupling biomembrane fusion for dynamic membrane proteome profiling","N/A","N/A","Qianqian Jiang, He Wang, Zichun Qiao, Yutong Hou, Zhigang Sui, Baofeng Zhao, Zhen Liang, Bo Jiang, Yukui Zhang, Lihua Zhang","","","N/A","Success"
"10.1039/D1SC03898B","Computational maturation of a single-domain antibody against Aβ42 aggregation","N/A","N/A","Jiacheng Lin, Chiara Figazzolo, Michael A. Metrick, Pietro Sormanni, Michele Vendruscolo","","","N/A","Success"
"10.1039/D0SC01255F","Investigation of cellular uptake mechanism of functionalised gold nanoparticles into breast cancer using SERS","N/A","N/A","Anastasia Kapara, Valerie G. Brunton, Duncan Graham, Karen Faulds","","","N/A","Success"
"10.1039/D0SC03280H","Surface site density and utilization of platinum group metal (PGM)-free Fe–NC and FeNi–NC electrocatalysts for the oxygen reduction reaction","N/A","N/A","Fengjian Luo, Stephan Wagner, Ichiro Onishi, Sören Selve, Shuang Li, Wen Ju, Li Wang, Julian Steinberg, Arne Thomas, Ulrike I. Kramm, Peter Strasser","","","N/A","Success"
